,y
12060,0
2501,0
39788,0
25912,0
26012,0
29638,0
16443,0
21220,0
26440,0
19608,0
22290,1
29826,1
37293,1
2852,0
17819,0
29902,0
26583,0
6207,0
30542,1
28645,0
26762,0
37696,0
25857,0
18345,0
19360,0
22947,0
28019,0
2346,0
32095,0
11601,0
20598,0
36875,0
17972,0
20801,0
17424,0
2595,0
20076,0
35038,0
10693,0
15918,0
38388,0
184,0
30909,0
35549,0
28526,0
38750,1
10918,0
29885,0
18010,0
8127,0
27597,0
16271,0
32132,0
27900,0
25909,0
10886,0
10282,0
32448,0
6938,0
3923,0
19534,0
8481,0
33471,0
28964,0
31315,0
40790,0
25075,0
5741,0
8323,0
16829,0
25056,0
9278,0
19869,0
39706,0
40330,0
34417,0
30963,0
23350,0
37389,0
26100,0
18382,0
39644,1
18585,0
8787,0
8398,0
35225,0
36335,0
17442,0
36559,0
26704,0
37810,0
40909,1
39498,1
9503,0
1209,0
5199,0
3023,0
12736,0
33772,0
20530,0
6638,0
12696,0
11973,0
27357,0
37634,0
8969,0
26645,0
12900,0
17478,0
16120,0
4514,0
1313,0
32790,1
34030,0
37683,1
29465,1
39884,0
7859,0
8339,0
25186,0
24620,0
8262,0
29637,0
10968,0
35953,0
14946,0
35557,0
10680,0
37821,0
38376,1
4798,0
32160,0
35685,0
15624,0
9698,0
22096,0
10614,0
24951,0
11354,0
1924,0
7478,1
14565,0
40380,1
10925,0
4326,0
28041,0
28673,0
12544,0
32190,0
18793,0
20217,0
22010,0
13695,0
35793,1
9627,0
21319,0
40824,1
18321,0
33835,0
308,0
2269,0
34598,0
18431,0
5306,0
32216,0
7377,0
36024,0
14691,0
26525,0
32910,0
14725,0
21237,0
24959,0
3617,0
16817,0
16875,0
12490,0
26165,0
4608,0
28469,1
6552,0
17712,0
17742,0
19827,0
22565,0
19026,0
14948,0
26837,0
12312,0
36851,0
33645,0
21859,0
7498,0
31878,0
8883,1
14130,0
22249,0
7370,0
6599,0
3901,0
37199,1
35148,0
19009,0
27797,1
18625,0
21818,0
22322,0
25002,0
33502,1
13048,0
6859,0
39826,0
3580,0
7425,0
36698,0
29048,0
28727,0
14477,1
2463,0
20125,0
18020,0
15976,0
40546,1
2055,0
3728,0
8351,0
33146,0
27207,0
7674,0
1855,0
34366,0
3891,0
36346,0
21369,0
16588,1
2677,0
40949,0
29026,0
4082,0
23070,0
39170,1
14459,0
10267,0
34777,0
22015,0
34385,0
17557,0
19396,0
35408,1
5124,0
16919,0
22542,0
19314,0
26996,0
3280,0
11376,0
27983,1
8246,1
26359,1
24738,0
13560,0
6175,0
22287,0
40371,1
39726,1
18579,0
8631,0
34765,0
4653,0
8467,0
8892,0
23024,0
25405,0
28593,1
35797,0
31300,0
10772,0
24276,0
28956,1
1819,1
4012,0
32991,0
30403,1
4854,0
18015,0
37784,0
9648,0
17522,0
29453,0
35789,0
40615,0
4141,0
33026,0
28668,0
37614,0
37695,1
7700,0
11735,0
27048,0
737,0
17634,0
21410,0
23565,0
35067,0
26354,0
8982,0
22440,0
21857,0
15709,0
27354,0
20345,0
21832,0
17895,0
40579,0
30310,1
12790,0
22054,0
9822,0
10610,0
4917,0
30030,1
27133,0
38792,0
3808,0
5003,0
26269,0
20134,0
31336,0
26331,0
14413,0
31623,0
10861,0
12071,0
4640,0
5459,0
12198,0
30276,0
39670,1
1817,0
27008,0
13418,0
6327,0
33240,0
30413,1
25462,0
26761,0
35474,0
1865,0
31106,0
6352,0
58,0
5357,0
26830,0
35964,1
37423,0
38341,0
38678,0
19281,1
38820,0
24572,0
32720,1
37832,0
38367,0
29729,0
31597,0
29114,0
25103,0
30717,0
20016,0
9193,0
37477,0
30405,0
32694,0
21309,0
26029,1
15114,0
12362,0
4148,0
20904,0
14069,1
23476,0
39951,0
35359,0
5163,0
36703,0
15402,0
781,0
33036,0
8134,0
26402,0
24905,0
4499,0
3349,0
32605,0
18491,0
13815,0
40462,0
12281,0
845,0
11977,0
40261,1
35376,0
28208,0
22994,0
13637,0
20969,0
27544,0
24809,0
3071,0
1297,0
1494,0
7536,0
8585,0
31451,0
40764,1
36697,0
31193,0
25569,0
14231,0
19755,0
30821,0
7762,0
31214,0
18478,0
5491,0
32561,0
38011,0
27912,0
33498,0
9790,0
7075,0
133,0
25804,0
11039,0
1201,0
8406,0
8245,0
17802,0
11300,0
35781,0
37219,1
5298,0
11467,0
22051,0
31643,0
1425,0
20824,0
32704,0
2600,0
34955,0
34367,0
5932,0
27380,0
36448,1
30997,0
17480,0
9598,0
26668,0
11942,0
22457,0
120,0
15990,0
3215,0
32547,0
32639,1
3952,0
27351,0
3285,0
15211,1
30611,0
37149,0
18302,0
29283,0
7532,0
39278,0
9022,0
31918,0
29281,0
39639,1
30555,1
39568,0
12967,0
33757,0
22768,0
23873,0
28387,1
20906,0
38541,1
23455,0
35919,0
2846,0
9870,0
8357,0
9752,0
35683,0
26771,0
8845,0
17453,0
36624,0
21261,0
21343,0
2020,0
6129,0
888,0
35313,0
29458,0
18907,0
33534,0
2058,0
10882,0
8470,0
4867,0
8916,0
38682,1
8746,0
8359,0
37804,0
31099,0
21020,0
40758,1
5398,0
23703,0
930,0
3527,0
38478,1
31388,0
29389,0
5825,0
26669,0
35434,0
32176,0
40877,1
7568,0
11584,0
27748,1
18123,0
25293,0
29723,0
32145,0
791,0
11506,0
7763,0
13669,0
28860,0
34219,0
6528,0
21213,0
2038,0
33125,0
12869,0
30151,0
4090,0
22205,0
29365,0
26629,0
12971,1
10415,0
15980,0
28069,0
17109,1
20216,0
16059,0
38459,0
9960,0
26989,0
10191,0
26447,0
7253,0
13790,0
5995,0
7150,0
36163,0
28500,0
8233,1
24805,0
34148,0
6717,0
13668,0
29678,0
22682,0
35183,1
16978,0
36365,0
40168,1
19448,0
33434,0
28452,0
10855,0
8602,0
28215,0
10114,0
12136,0
2244,0
18149,0
28356,0
26544,0
36434,0
36108,0
23649,0
13201,0
8925,0
26782,0
23893,0
18192,0
13642,0
41131,0
30237,0
27252,0
35426,0
33702,0
23308,0
13131,1
1256,1
8050,0
39102,0
26949,0
37497,0
19042,0
20112,0
35496,0
14364,0
39492,1
38996,1
7471,0
16196,0
15920,0
9012,0
18487,0
8431,0
8772,0
29929,0
22912,0
9710,0
28629,1
7629,0
3301,0
35300,0
14254,0
11525,0
3576,1
2141,0
10902,0
10350,0
35298,0
21869,0
436,0
26085,0
5541,0
8743,0
13791,0
27185,0
23314,0
28994,0
41169,0
64,0
10157,1
22962,0
9935,0
22421,1
26023,0
31468,0
28832,0
7413,0
29121,0
32363,0
29275,0
32400,0
15599,0
38054,0
28248,0
27219,0
10597,0
18391,0
28610,0
16987,0
38160,0
26929,0
14453,0
29562,1
2663,0
35984,1
33311,0
18623,0
19210,0
30299,0
25677,0
34167,0
10653,0
23091,0
27253,0
40456,0
20138,0
32193,0
2514,0
8263,0
27948,0
12717,0
29071,0
28893,0
14739,0
4976,0
26641,0
37556,0
11891,0
17602,0
20055,0
21000,0
7170,0
17749,1
24675,0
21306,0
37376,0
24495,0
32242,0
